ID;an;NO_SEQ_COLL;DT_ACCDN;heure_accdn;JR_SEMN_ACCDN;gravite;NB_DECES_PIETON;NB_BLESSES_PIETON;NB_VICTIMES_PIETON;NB_DECES_VELO;NB_BLESSES_VELO;NB_VICTIMES_VELO;CD_MUNCP;REG_ADM;MRC;NO_CIVIQ_ACCDN;SFX_NO_CIVIQ_ACCDN;RUE_ACCDN;VILLE;RUE_VILLE;TP_REPRR_ACCDN;ACCDN_PRES_DE;NO_ROUTE;CD_PNT_CDRNL_ROUTE;BORNE_KM_ACCDN;NB_METRE_DIST_ACCD;CD_PNT_CDRNL_REPRR;VITESSE_AUTOR;CD_GENRE_ACCDN;CD_SIT_PRTCE_ACCDN;CD_ETAT_SURFC;CD_ECLRM;CD_ENVRN_ACCDN;CD_CATEG_ROUTE;CD_ETAT_CHASS;CD_ASPCT_ROUTE;CD_LOCLN_ACCDN;CD_POSI_ACCDN;CD_CONFG_ROUTE;CD_COND_METEO;nb_bicyclette;nb_autres_types;nb_veh_non_precise;address;lat;lon
43831;2015;2015 _ 43832;42184;07:00:00-07:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;HOCHELAGA;,Quebec,QC,Canada;HOCHELAGA,Quebec,QC,Canada;1.0;BERNARDIN MORIN;;;;;;50.0;33.0;;12.0;1.0;3.0;13.0;1.0;11.0;32.0;6.0;3.0;12.0;1;0;0;1 HOCHELAGA;45.5421326;-73.5476296
43850;2015;2015 _ 43851;42184;22:00:00-22:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CHAMPFLEURY;,Quebec,QC,Canada;CHAMPFLEURY,Quebec,QC,Canada;1.0;25E RUE;;;;;;50.0;33.0;;11.0;3.0;2.0;14.0;1.0;11.0;32.0;;2.0;11.0;1;0;0;1 CHAMPFLEURY;49.1984834;4.0165459
43900;2015;2015 _ 43901;42188;13:00:00-13:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;BOUGAINVILLE;,Quebec,QC,Canada;BOUGAINVILLE,Quebec,QC,Canada;1.0;Grande ALLEE OUEST;;;;;;50.0;33.0;;11.0;1.0;2.0;13.0;1.0;11.0;32.0;6.0;4.0;11.0;1;0;0;1 BOUGAINVILLE;-19.848415;-44.1490313
43901;2015;2015 _ 43902;42188;14:00:00-14:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PIERRE BERTRAND;,Quebec,QC,Canada;PIERRE BERTRAND,Quebec,QC,Canada;1.0;DES TOURNELLES;;;;;;50.0;33.0;;11.0;1.0;4.0;13.0;1.0;13.0;32.0;6.0;3.0;11.0;1;0;0;1 PIERRE BERTRAND;46.831471;-71.2793761
43908;2015;2015 _ 43909;42189;14:00:00-14:59:00;SA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );694.0;;Saint-Vallier Ouest;,Quebec,QC,Canada;Saint-Vallier Ouest,Quebec,QC,Canada;1.0;;;;;;N;;33.0;;11.0;;3.0;21.0;1.0;11.0;33.0;9.0;2.0;12.0;1;0;0;694 Saint-Vallier Ouest;0.0;0.0
43965;2015;2015 _ 43966;42193;17:00:00-17:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;Saint-Joachim;,Quebec,QC,Canada;Saint-Joachim,Quebec,QC,Canada;1.0;HONORE MERCIER;;;;;;50.0;33.0;;11.0;1.0;3.0;14.0;1.0;11.0;32.0;;2.0;11.0;1;0;0;1 Saint-Joachim;47.3836823;-2.2020677
43967;2015;2015 _ 43968;42193;21:00:00-21:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );550.0;;BD PERE LELIEVRE;,Quebec,QC,Canada;BD PERE LELIEVRE,Quebec,QC,Canada;1.0;NOLIN;;;;50.0;O;50.0;33.0;;11.0;3.0;3.0;13.0;1.0;11.0;33.0;6.0;3.0;11.0;1;0;0;550 BD PERE LELIEVRE;46.8136356;-71.2717344
43974;2015;2015 _ 43975;42194;07:00:00-07:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CHABOT;,Quebec,QC,Canada;CHABOT,Quebec,QC,Canada;1.0;CHAMPAGNAT;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 CHABOT;46.7032813;-1.2662982
43978;2015;2015 _ 43979;42194;17:00:00-17:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;DES HOTELS;,Quebec,QC,Canada;DES HOTELS,Quebec,QC,Canada;1.0;CHARLES M MONSARRAT;;;;;N;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;13.0;32.0;6.0;2.0;11.0;1;0;0;1 DES HOTELS;47.1504291;23.8767184615
44041;2015;2015 _ 44042;42198;22:00:00-22:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;MARIE-DE-L'INCARNATION;,Quebec,QC,Canada;MARIE-DE-L'INCARNATION,Quebec,QC,Canada;1.0;RAOUL JOBIN;;;;;;50.0;33.0;;11.0;3.0;3.0;13.0;1.0;11.0;32.0;6.0;3.0;11.0;1;0;0;1 MARIE-DE-L'INCARNATION;0.0;0.0
44064;2015;2015 _ 44065;42200;13:00:00-13:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );17010.0;;BD HENRI BOURASSA;,Quebec,QC,Canada;BD HENRI BOURASSA,Quebec,QC,Canada;;;;;;;;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;13.0;99.0;7.0;3.0;11.0;1;0;0;17010 BD HENRI BOURASSA;45.6207876;-73.588462
44071;2015;2015 _ 44072;42200;15:00:00-15:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;BD Charest Ouest;,Quebec,QC,Canada;BD Charest Ouest,Quebec,QC,Canada;2.0;VERDUN;;;;;;50.0;33.0;;11.0;1.0;3.0;12.0;1.0;14.0;33.0;8.0;1.0;11.0;1;0;0;1 BD Charest Ouest;0.0;0.0
44076;2015;2015 _ 44077;42200;17:00:00-17:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CHENES O;,Quebec,QC,Canada;CHENES O,Quebec,QC,Canada;1.0;DUVAL;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 CHENES O;0.0;0.0
44078;2015;2015 _ 44079;42200;23:00:00-23:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;18E RUE;,Quebec,QC,Canada;18E RUE,Quebec,QC,Canada;1.0;MT THABOR;;;;;;50.0;31.0;;11.0;3.0;3.0;13.0;2.0;11.0;32.0;;3.0;11.0;1;0;0;1 18E RUE;46.8359511;-71.2261586
44090;2015;2015 _ 44091;42201;15:00:00-15:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PERE LELIEVRE;,Quebec,QC,Canada;PERE LELIEVRE,Quebec,QC,Canada;1.0;LABRECQUE;;;;;;50.0;33.0;;11.0;1.0;2.0;13.0;1.0;11.0;32.0;5.0;3.0;11.0;1;0;0;1 PERE LELIEVRE;48.1199655;-1.2008321
44091;2015;2015 _ 44092;42201;15:00:00-15:59:00;JE;Leger;0;0;0;0;1;1;23072;Capitale-Nationale(03);Quebec (23 );;;RTE 138;,Quebec,QC,Canada;RTE 138,Quebec,QC,Canada;1.0;RTE RACETTE;138.0;;;;;50.0;33.0;;11.0;1.0;3.0;12.0;;14.0;32.0;;2.0;11.0;1;0;0;1 RTE 138;45.4224865;-73.652393
44095;2015;2015 _ 44096;42201;17:00:00-17:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;AV TURMEL;,Quebec,QC,Canada;AV TURMEL,Quebec,QC,Canada;1.0;L AFFLUENT;;;;;;50.0;31.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;5.0;2.0;11.0;1;0;0;1 AV TURMEL;48.6269964;-1.03122
44096;2015;2015 _ 44097;42201;18:00:00-18:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;AV PAINCHAUD;,Quebec,QC,Canada;AV PAINCHAUD,Quebec,QC,Canada;2.0;BD RENE LEVLESQUE;;;;;;;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;33.0;7.0;2.0;11.0;1;0;0;1 AV PAINCHAUD;46.7874837;-71.2592719
44114;2015;2015 _ 44115;42202;20:00:00-20:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;Charest Est;,Quebec,QC,Canada;Charest Est,Quebec,QC,Canada;1.0;DARVIS;;;;;;50.0;33.0;;11.0;2.0;3.0;13.0;1.0;11.0;;6.0;3.0;11.0;1;0;0;1 Charest Est;45.4709613;-73.6549225
44117;2015;2015 _ 44118;42203;04:00:00-04:59:00;SA;Grave;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CH Sainte-Foy;,Quebec,QC,Canada;CH Sainte-Foy,Quebec,QC,Canada;1.0;DE BIENVILLE;;;;5.0;E;50.0;33.0;;12.0;3.0;2.0;13.0;1.0;11.0;32.0;6.0;3.0;14.0;1;0;0;1 CH Sainte-Foy;46.7842873;-71.2870989
44127;2015;2015 _ 44128;42203;17:00:00-17:59:00;SA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;Route Jean-Gauvin;,Quebec,QC,Canada;Route Jean-Gauvin,Quebec,QC,Canada;1.0;AV JULES VERNE;;;;;O;50.0;33.0;;12.0;1.0;3.0;13.0;1.0;11.0;32.0;6.0;3.0;14.0;1;0;0;1 Route Jean-Gauvin;46.7648668;-71.3710561
44169;2015;2015 _ 44170;42208;08:00:00-08:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PLATANES;,Quebec,QC,Canada;PLATANES,Quebec,QC,Canada;1.0;LOUTRES;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;12.0;32.0;6.0;2.0;12.0;1;0;0;1 PLATANES;35.1729495;24.5885192
44196;2015;2015 _ 44197;42210;20:00:00-20:59:00;SA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PIE XI N;,Quebec,QC,Canada;PIE XI N,Quebec,QC,Canada;1.0;ESTEREL;;;;;;50.0;33.0;;11.0;3.0;3.0;13.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 PIE XI N;0.0;0.0
44268;2015;2015 _ 44269;42216;15:00:00-15:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PIERRE BERTRAND;,Quebec,QC,Canada;PIERRE BERTRAND,Quebec,QC,Canada;1.0;PIERRE BERTRAND ET WILFRID-HAMEL;;;;15.0;N;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;11.0;34.0;6.0;3.0;11.0;1;0;0;;34.220389;70.3800314
44279;2015;2015 _ 44280;42218;10:00:00-10:59:00;DI;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;TURMEL;,Quebec,QC,Canada;TURMEL,Quebec,QC,Canada;1.0;ST VICTOR;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;5.0;2.0;12.0;1;0;0;1 TURMEL;48.6269964;-1.03122
44284;2015;2015 _ 44285;42218;21:00:00-21:59:00;DI;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;MGR GOSSELIN ET PONCELET;,Quebec,QC,Canada;MGR GOSSELIN ET PONCELET,Quebec,QC,Canada;;;;;;;;50.0;33.0;;11.0;3.0;2.0;14.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 MGR GOSSELIN ET PONCELET;0.0;0.0
44288;2015;2015 _ 44289;42219;10:00:00-10:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;HENRI BOURASSA;,Quebec,QC,Canada;HENRI BOURASSA,Quebec,QC,Canada;1.0;HENRI BOURASSA ET DE NEMOURS;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;;11.0;;;3.0;11.0;1;0;0;;34.220389;70.3800314
44296;2015;2015 _ 44297;42219;20:00:00-20:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;DURAND;,Quebec,QC,Canada;DURAND,Quebec,QC,Canada;1.0;ORMIERE;;;;20.0;E;50.0;33.0;;11.0;3.0;3.0;21.0;1.0;11.0;40.0;6.0;9.0;12.0;1;0;0;1 DURAND;43.1114298;2.0671191
44310;2015;2015 _ 44311;42220;23:00:00-23:59:00;MA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CAVELIER ET ROCHAMBEAULT;,Quebec,QC,Canada;CAVELIER ET ROCHAMBEAULT,Quebec,QC,Canada;1.0;ROCHAMBEAULT;;;;;S;30.0;33.0;;12.0;3.0;2.0;14.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 CAVELIER ET ROCHAMBEAULT;0.0;0.0
44312;2015;2015 _ 44313;42221;09:00:00-09:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;AIGUILLON;,Quebec,QC,Canada;AIGUILLON,Quebec,QC,Canada;1.0;STE CLAIRE;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;13.0;32.0;6.0;1.0;11.0;1;0;0;1 AIGUILLON;44.3002778;0.3416667
44341;2015;2015 _ 44342;42222;17:00:00-17:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );2185;;PERE LELIEVRE;,Quebec,QC,Canada;PERE LELIEVRE,Quebec,QC,Canada;2.0;2185 PERE LELIEVRE;;;;;;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;11.0;32.0;2.0;3.0;11.0;1;0;0;;34.220389;70.3800314
44344;2015;2015 _ 44345;42222;20:00:00-20:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );371.0;;SEIGNEURIALE;,Quebec,QC,Canada;SEIGNEURIALE,Quebec,QC,Canada;;;;;;;;50.0;33.0;;11.0;2.0;3.0;13.0;1.0;14.0;33.0;9.0;2.0;11.0;1;0;0;371 SEIGNEURIALE;46.893723;-71.2143061
44348;2015;2015 _ 44349;42220;03:00:00-03:59:00;MA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;FRASER;,Quebec,QC,Canada;FRASER,Quebec,QC,Canada;;BROWN;;;;;;;33.0;;11.0;3.0;2.0;14.0;1.0;11.0;31.0;;2.0;11.0;1;0;0;1 FRASER;42.539202;-82.9493651
44353;2015;2015 _ 44354;42223;12:00:00-12:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;MORILLE;,Quebec,QC,Canada;MORILLE,Quebec,QC,Canada;1.0;THERESE CASGRAIN;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 MORILLE;40.8082578;-5.6972236
44354;2015;2015 _ 44355;42223;13:00:00-13:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;JOAN GAUVIN;,Quebec,QC,Canada;JOAN GAUVIN,Quebec,QC,Canada;1.0;ROBERT ET SEGUIN;;;;;E;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;11.0;32.0;;2.0;11.0;1;0;0;1 JOAN GAUVIN;0.0;0.0
44355;2015;2015 _ 44356;42223;13:00:00-13:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;3IEME AV;,Quebec,QC,Canada;3IEME AV,Quebec,QC,Canada;1.0;8IEME RUE;;;;5.0;S;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 3IEME AV;46.3499377;-72.5547312
44357;2015;2015 _ 44358;42223;14:00:00-14:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );2987.0;;Saint-Louis;,Quebec,QC,Canada;Saint-Louis,Quebec,QC,Canada;;;;;;;E;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;;6.0;2.0;11.0;1;0;0;2987 Saint-Louis;14.6833173;121.0294834
44403;2015;2015 _ 44404;42227;15:00:00-15:59:00;MA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );1420.0;;CYRILLE-DUCQUET;,Quebec,QC,Canada;CYRILLE-DUCQUET,Quebec,QC,Canada;;;;;;;S;50.0;33.0;;12.0;1.0;3.0;13.0;1.0;11.0;40.0;6.0;2.0;15.0;1;0;0;1420 CYRILLE-DUCQUET;0.0;0.0
44407;2015;2015 _ 44408;42227;16:00:00-16:59:00;MA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;EUGENE LAMONTAGNE;,Quebec,QC,Canada;EUGENE LAMONTAGNE,Quebec,QC,Canada;1.0;JALOBERT;;;;;;50.0;33.0;;12.0;1.0;3.0;13.0;1.0;11.0;32.0;6.0;2.0;15.0;1;0;0;1 EUGENE LAMONTAGNE;46.8276618;-71.2443852
44411;2015;2015 _ 44412;42228;09:00:00-09:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;DES QUATRE BOURGEOIS;,Quebec,QC,Canada;DES QUATRE BOURGEOIS,Quebec,QC,Canada;1.0;DE L EGLISE;;;;;;50.0;33.0;;11.0;1.0;3.0;11.0;1.0;21.0;32.0;7.0;1.0;11.0;1;0;0;1 DES QUATRE BOURGEOIS;46.7549167;-71.3311635
44463;2015;2015 _ 44464;42233;07:00:00-07:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );9375.0;;BD DE l'ormiereS;,Quebec,QC,Canada;BD DE l'ormiereS,Quebec,QC,Canada;2.0;COTE O STAT MCDONALD S;;;;;S;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;11.0;33.0;7.0;3.0;11.0;1;0;0;9375 BD DE l'ormiereS;0.0;0.0
44482;2015;2015 _ 44483;42234;23:00:00-23:59:00;MA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;HETRIERE;,Quebec,QC,Canada;HETRIERE,Quebec,QC,Canada;;JEAN GAUVIN;;;;;;50.0;33.0;;11.0;3.0;2.0;13.0;;11.0;32.0;;1.0;;1;0;0;1 HETRIERE;46.0118064;-64.5995253
44496;2015;2015 _ 44497;42236;00:00:00-00:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;Charest Ouest;,Quebec,QC,Canada;Charest Ouest,Quebec,QC,Canada;1.0;MARIE-DE-L'INCARNATION;;;;;S;50.0;31.0;;11.0;3.0;3.0;13.0;1.0;11.0;32.0;6.0;3.0;11.0;1;0;0;1 Charest Ouest;0.0;0.0
44502;2015;2015 _ 44503;42235;17:00:00-17:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CANARDIERE;,Quebec,QC,Canada;CANARDIERE,Quebec,QC,Canada;1.0;10E RUE;;;;;;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 CANARDIERE;47.3903017;-0.6739041
44516;2015;2015 _ 44517;42237;17:00:00-17:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;ETIMAUVILLE;,Quebec,QC,Canada;ETIMAUVILLE,Quebec,QC,Canada;1.0;DES MOQUEURS;;;;5.0;O;50.0;33.0;;11.0;1.0;3.0;19.0;1.0;11.0;32.0;5.0;2.0;11.0;1;0;0;1 ETIMAUVILLE;0.0;0.0
44518;2015;2015 _ 44519;42237;19:00:00-19:59:00;VE;Grave;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;60E RUE E;,Quebec,QC,Canada;60E RUE E,Quebec,QC,Canada;1.0;VINCENT BEAUMONT;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;13.0;32.0;6.0;2.0;11.0;1;0;0;1 60E RUE E;0.0;0.0
44520;2015;2015 _ 44521;42237;21:00:00-21:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CH Sainte-Foy;,Quebec,QC,Canada;CH Sainte-Foy,Quebec,QC,Canada;1.0;MURRAY;;;;;;50.0;33.0;;11.0;3.0;2.0;12.0;1.0;11.0;32.0;6.0;3.0;11.0;1;0;0;1 CH Sainte-Foy;46.7842873;-71.2870989
44542;2015;2015 _ 44543;42237;16:00:00-16:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;3E AVENUE;,Quebec,QC,Canada;3E AVENUE,Quebec,QC,Canada;1.0;3E RUE;;;;50.0;N;50.0;33.0;;11.0;1.0;3.0;14.0;1.0;11.0;33.0;6.0;2.0;11.0;1;0;0;1 3E AV ANGLE 3E RUE;0.0;0.0
44551;2015;2015 _ 44552;42240;07:00:00-07:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;FIEDMONT;,Quebec,QC,Canada;FIEDMONT,Quebec,QC,Canada;1.0;BIEVRE;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;5.0;2.0;11.0;1;0;0;1 FIEDMONT;46.773955;-71.2848046
44567;2015;2015 _ 44568;42241;08:00:00-08:59:00;MA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;MARIE-DE-L'INCARNATION;,Quebec,QC,Canada;MARIE-DE-L'INCARNATION,Quebec,QC,Canada;1.0;WILFRID-HAMEL;;;;75.0;S;50.0;33.0;;11.0;1.0;2.0;13.0;1.0;11.0;32.0;6.0;3.0;12.0;1;0;0;1 MARIE-DE-L'INCARNATION;0.0;0.0
44569;2015;2015 _ 44570;42239;17:00:00-17:59:00;DI;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CORRIDOR DES CHEMINOTS;,Quebec,QC,Canada;CORRIDOR DES CHEMINOTS,Quebec,QC,Canada;1.0;AV DES AFFAIRES;;;;400.0;O;;31.0;;11.0;1.0;9.0;29.0;1.0;11.0;33.0;5.0;2.0;11.0;1;0;0;1 CORRIDOR DES CHEMINOTS;46.8627065;-71.4126813
44580;2015;2015 _ 44581;42241;18:00:00-18:59:00;MA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;DES OBLATS;,Quebec,QC,Canada;DES OBLATS,Quebec,QC,Canada;1.0;MAZENOD;;;;;S;50.0;33.0;;12.0;1.0;3.0;13.0;1.0;11.0;32.0;6.0;2.0;14.0;1;0;0;1 DES OBLATS;50.630172;5.58878445657
44612;2015;2015 _ 44613;42243;17:00:00-17:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;Saint-Vallier Ouest;,Quebec,QC,Canada;Saint-Vallier Ouest,Quebec,QC,Canada;1.0;ST LUC;;;;;;;33.0;;11.0;1.0;2.0;13.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 Saint-Vallier Ouest;0.0;0.0
44618;2015;2015 _ 44619;42244;10:00:00-10:59:00;VE;Leger;0;0;0;0;1;1;23072;Capitale-Nationale(03);Quebec (23 );3688.0;;DE L'HETRIERE;,Quebec,QC,Canada;DE L'HETRIERE,Quebec,QC,Canada;2.0;SUR PISTE CYCLABLE FACE AU 3688;;;;;;;33.0;;11.0;1.0;3.0;13.0;1.0;13.0;99.0;5.0;2.0;11.0;1;0;0;3688 DE L'HETRIERE;0.0;0.0
